Name,Link,Created,Updated
Matinais,https://www.carrefour.com.br/matinais?crfint=m-links|essenciais|matinais|1,2020-07-03 21:48:40.751563,2020-07-03 21:48:40.751563
"Pães,                                     torradas e bolos",https://www.carrefour.com.br/paes-torradas-e-bolos?crfint=m-links|essenciais|matinais|1|paes-torras-e-bolos|1,2020-07-03 21:48:40.940563,2020-07-03 21:48:40.941564
Iogurtes                                     e laticínios,https://www.carrefour.com.br/iogurtes-e-laticinios?crfint=m-links|essenciais|matinais|1|iogurtes-e-laticinios|2,2020-07-03 21:48:41.071567,2020-07-03 21:48:41.071567
Achocolatados,https://www.carrefour.com.br/achocolatados-e-shakes?crfint=m-links|essenciais|matinais|1|achocolatados-e-shakes|3,2020-07-03 21:48:41.194564,2020-07-03 21:48:41.194564
Café e                                     chá,https://www.carrefour.com.br/cafe-e-cha?crfint=m-links|essenciais|matinais|1|cafe-e-cha|4,2020-07-03 21:48:41.323563,2020-07-03 21:48:41.323563
"Farinhas,                                     aveia e mingau",https://www.carrefour.com.br/farinhas-aveia-e-mingau?crfint=m-links|essenciais|matinais|1|farinhas-aveia-e-mingau|5,2020-07-03 21:48:41.532563,2020-07-03 21:48:41.532563
Leite,https://www.carrefour.com.br/leite?crfint=m-links|essenciais|matinais|1|leite|6,2020-07-03 21:48:41.735564,2020-07-03 21:48:41.735564
Biscoitos                                     e cereais,https://www.carrefour.com.br/biscoitos-e-cereais?crfint=m-links|essenciais|matinais|1|biscoitos-e-cereais|6,2020-07-03 21:48:41.871565,2020-07-03 21:48:41.871565
Geléias,https://www.carrefour.com.br/cf-promo-selecao-geleia-0620?crfint=m-links|essenciais|matinais|1|geleias|7,2020-07-03 21:48:41.990563,2020-07-03 21:48:41.990563
Forno                                     de Minas,https://www.carrefour.com.br/cf-promo-selecao-Itens-forno-de-minas-0420?crfint=hm-tlink|mercado|matinais|1|parceria-forno-de-minas|8,2020-07-03 21:48:42.119565,2020-07-03 21:48:42.119565
Alimentos                             Básicos,https://www.carrefour.com.brhttps://www.carrefour.com.br/alimentos-basicos?crfint=m-links|essenciais|alimentos-basicos|2,2020-07-03 21:48:42.206563,2020-07-03 21:48:42.206563
Arroz                                     e grãos,https://www.carrefour.com.br/arroz-e-graos?crfint=m-links|essenciais|alimentos-basicos|2|arroz-e-graos|1,2020-07-03 21:48:42.336566,2020-07-03 21:48:42.336566
"Doces,                                     sobremesas e confeitaria",https://www.carrefour.com.br/doces-sobremesas-e-confeitaria?crfint=m-links|essenciais|alimentos-basicos|2|doces-sobremesas-e-confeitaria|2,2020-07-03 21:48:42.451566,2020-07-03 21:48:42.451566
Massas                                     e molhos,https://www.carrefour.com.br/massas-e-molhos?crfint=m-links|essenciais|alimentos-basicos|2|massas-e-molhos|4,2020-07-03 21:48:42.592562,2020-07-03 21:48:42.592562
Conservas                                     e Enlatados,https://www.carrefour.com.br/conservas-e-enlatados?crfint=m-links|essenciais|alimentos-basicos|2|conservas-e-enlatados|5,2020-07-03 21:48:42.837563,2020-07-03 21:48:42.837563
"Azeites,                                     óleos e vinagres",https://www.carrefour.com.br/oleos-azeites-e-vinagres?crfint=m-links|essenciais|alimentos-basicos|2|oleos-azeites-e-vinagres|6,2020-07-03 21:48:42.981562,2020-07-03 21:48:42.981562
Temperos                                     e condimentos,https://www.carrefour.com.br/temperos-e-condimentos?crfint=m-links|essenciais|alimentos-basicos|2|temperos-e-condimentos|7,2020-07-03 21:48:43.133565,2020-07-03 21:48:43.133565
Café                                     em pó,https://www.carrefour.com.br/cf-promo-selecao-de-cafe-0520?crfint=hm-tlink|mercado|alimentos-basicos|2|parceria-jde-cafe|8,2020-07-03 21:48:43.273566,2020-07-03 21:48:43.273566
Produtos                                     Beira Alta,https://www.carrefour.com.br/cf-promo-beira-alta-0620?crfint=hm-tlink|mercado|alimentos-basicos|2|parceria-beira-alta|9,2020-07-03 21:48:43.399564,2020-07-03 21:48:43.399564
Frescos                             e Refrigerados,https://www.carrefour.com.brhttps://www.carrefour.com.br/frescos-e-refrigerados?crfint=m-links|essenciais|frescos-e-refrigerados|3,2020-07-03 21:48:43.542564,2020-07-03 21:48:43.542564
Frutas,https://www.carrefour.com.br/frutas?crfint=m-links|essenciais|frescos-e-refrigerados|3|frutas|1,2020-07-03 21:48:43.692563,2020-07-03 21:48:43.692563
Ovos,https://www.carrefour.com.br/ovos?crfint=m-links|essenciais|frescos-e-refrigerados|3|ovos|2,2020-07-03 21:48:43.817563,2020-07-03 21:48:43.817563
"Carnes,                                     aves e peixes",https://www.carrefour.com.br/carnes-aves-e-peixes?crfint=m-links|essenciais|frescos-e-refrigerados|3|carnes-aves-e-peixes|3,2020-07-03 21:48:43.929563,2020-07-03 21:48:43.929563
Verduras                                     e Legumes,https://www.carrefour.com.br/verduras-e-legumes?crfint=m-links|essenciais|frescos-e-refrigerados|3|verduras-e-legumes|4,2020-07-03 21:48:44.014566,2020-07-03 21:48:44.014566
Queijos                                     e frios,https://www.carrefour.com.br/queijos-e-frios?crfint=m-links|essenciais|frescos-e-refrigerados|3|queijos-e-frios|5,2020-07-03 21:48:44.099568,2020-07-03 21:48:44.099568
Congelados,https://www.carrefour.com.br/congelados?crfint=m-links|essenciais|frescos-e-refrigerados|3|congelados|6,2020-07-03 21:48:44.169561,2020-07-03 21:48:44.169561
Pratos                                     prontos,https://www.carrefour.com.br/pratos-prontos?crfint=m-links|essenciais|frescos-e-refrigerados|3|pratos-prontos|7,2020-07-03 21:48:44.239566,2020-07-03 21:48:44.239566
Açougue                             e Peixaria,https://www.carrefour.com.brhttps://www.carrefour.com.br/carnes-aves-e-peixes?crfint=m-links|essenciais|carnes-aves-e-peixes|4|carnes-aves-e-peixes|0,2020-07-03 21:48:44.310556,2020-07-03 21:48:44.310556
Carne                                     bovina,https://www.carrefour.com.br/carne-bovina?crfint=m-links|essenciais|carnes-aves-e-peixes|4|carne-bovina|1,2020-07-03 21:48:44.383797,2020-07-03 21:48:44.383797
Carne                                     de porco,https://www.carrefour.com.br/carne-suina?crfint=m-links|essenciais|carnes-aves-e-peixes|4|carne-suina|2,2020-07-03 21:48:44.459796,2020-07-03 21:48:44.459796
Frango,https://www.carrefour.com.br/frango?crfint=m-links|essenciais|carnes-aves-e-peixes|4|frango|3,2020-07-03 21:48:44.536795,2020-07-03 21:48:44.536795
Aves                                     especiais,https://www.carrefour.com.br/aves-especiais?crfint=m-links|essenciais|carnes-aves-e-peixes|4|aves-especiais|4,2020-07-03 21:48:44.607794,2020-07-03 21:48:44.607794
Peixaria,https://www.carrefour.com.br/peixes?crfint=m-links|essenciais|carnes-aves-e-peixes|4|peixes|5,2020-07-03 21:48:44.682795,2020-07-03 21:48:44.682795
Frutos                                     do mar,https://www.carrefour.com.br/frutos-do-mar?crfint=m-links|essenciais|carnes-aves-e-peixes|4|frutos-do-mar|6,2020-07-03 21:48:44.771795,2020-07-03 21:48:44.771795
Bebidas,https://www.carrefour.com.brhttps://www.carrefour.com.br/cf-promo-bebidas-0120?crfint=m-links|essenciais|bebidas|5,2020-07-03 21:48:44.952794,2020-07-03 21:48:44.952794
Água                                     e água de coco,https://www.carrefour.com.br/agua-e-agua-de-coco?crfint=m-links|essenciais|bebidas|5|agua-e-agua-de-coco|1,2020-07-03 21:48:45.169795,2020-07-03 21:48:45.169795
Sucos                                     e refrescos,https://www.carrefour.com.br/sucos-e-refrescos?crfint=m-links|essenciais|bebidas|5|sucos-e-refrescos|2,2020-07-03 21:48:45.420794,2020-07-03 21:48:45.420794
Refrigerantes,https://www.carrefour.com.br/refrigerante?crfint=m-links|essenciais|bebidas|5|refrigerante|3,2020-07-03 21:48:45.661794,2020-07-03 21:48:45.662796
Cervejas,https://www.carrefour.com.br/cervejas?crfint=m-links|essenciais|bebidas|5|cervejas|4,2020-07-03 21:48:45.836795,2020-07-03 21:48:45.836795
Cervejas                                     especiais,https://www.carrefour.com.br/cervejas-especiais?crfint=m-links|essenciais|bebidas|5|cervejas-especiais|5,2020-07-03 21:48:45.969797,2020-07-03 21:48:45.969797
Vinhos                                     e espumantes,https://www.carrefour.com.br/vinhos-e-espumantes?crfint=m-links|essenciais|bebidas|5|vinhos-e-espumantes|6,2020-07-03 21:48:46.107794,2020-07-03 21:48:46.107794
Whisky,https://www.carrefour.com.br/whisky?crfint=m-links|essenciais|bebidas|5|whisky|7,2020-07-03 21:48:46.200793,2020-07-03 21:48:46.200793
Destilados,https://www.carrefour.com.br/destilados?crfint=m-links|essenciais|bebidas|5|destilados|8,2020-07-03 21:48:46.273794,2020-07-03 21:48:46.273794
"Seu Bar, Seu                                     Momento",https://www.carrefour.com.br/pernod?crfint=hm-tlink|mercado|bebidas|5|parceria-pernod|9,2020-07-03 21:48:46.351793,2020-07-03 21:48:46.351793
Limpeza,https://www.carrefour.com.br/limpeza-e-perfumaria?crfint=m-links|essenciais|limpeza|6,2020-07-03 21:48:46.423795,2020-07-03 21:48:46.423795
Limpeza                                     da casa,https://www.carrefour.com.br/cf-promo-produtos-limpeza-0120?crfint=m-links|essenciais|limpeza|6|produtos-de-limpeza|1,2020-07-03 21:48:46.493798,2020-07-03 21:48:46.493798
Cuidados                                     com as roupas,https://www.carrefour.com.br/cuidados-com-as-roupas?crfint=m-links|essenciais|limpeza|6|cuidados-com-as-roupas|2,2020-07-03 21:48:46.565793,2020-07-03 21:48:46.565793
Descartáveis,https://www.carrefour.com.br/descartaveis?crfint=m-links|essenciais|limpeza|6|descartaveis|3,2020-07-03 21:48:46.636798,2020-07-03 21:48:46.636798
Ariel                                     e Downy,https://www.carrefour.com.br/cf-promo-ariel-downy-1707?crfint=hm-tlink|mercado|limpeza|6|parceria-peg|4,2020-07-03 21:48:46.722797,2020-07-03 21:48:46.722797
Perfumaria,https://www.carrefour.com.brhttps://www.carrefour.com.br/limpeza-e-perfumaria?crfint=m-links|essenciais|perfumaria|7,2020-07-03 21:48:46.804796,2020-07-03 21:48:46.804796
Cuidados                                     pessoais,https://www.carrefour.com.br/cuidados-pessoais?crfint=m-links|essenciais|perfumaria|7|cuidados-pessoais|1,2020-07-03 21:48:46.892814,2020-07-03 21:48:46.892814
Banho,https://www.carrefour.com.br/banho?crfint=m-links|essenciais|perfumaria|7|banho|2,2020-07-03 21:48:46.964795,2020-07-03 21:48:46.964795
Higiene                                     bucal,https://www.carrefour.com.br/higiene-bucal?crfint=m-links|essenciais|perfumaria|7|higiene-bucal|3,2020-07-03 21:48:47.036793,2020-07-03 21:48:47.036793
Papel                                     higiênico,https://www.carrefour.com.br/papel-higienico?crfint=m-links|essenciais|perfumaria|7|papel-higienico|4,2020-07-03 21:48:47.124794,2020-07-03 21:48:47.124794
"Produtos                                     OLLA, Jontex e VEET",https://www.carrefour.com.br/cf-promo-olla-jontex-veet-0620?crfint=hm-tlink|mercado|perfumaria|7|parceria-rb|5,2020-07-03 21:48:47.199796,2020-07-03 21:48:47.199796
Saudáveis,https://www.carrefour.com.brhttps://www.carrefour.com.br/integrais-e-dietas-especiais?crfint=m-links|essenciais|integrais-e-dietas-especiais|8,2020-07-03 21:48:47.265799,2020-07-03 21:48:47.265799
Integrais,https://www.carrefour.com.br/alimentos-integrais?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-integrais|1,2020-07-03 21:48:47.337817,2020-07-03 21:48:47.337817
Orgânicos,https://www.carrefour.com.br/alimentos-organicos?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-organicos|2,2020-07-03 21:48:47.413797,2020-07-03 21:48:47.413797
sem                                     Antibiótico,https://www.carrefour.com.br/alimentos-sem-antibioticos?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-sem-antibioticos|3,2020-07-03 21:48:47.482793,2020-07-03 21:48:47.482793
sem                                     Glúten,https://www.carrefour.com.br/alimentos-sem-gluten?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-sem-gluten|4,2020-07-03 21:48:47.553576,2020-07-03 21:48:47.553576
sem                                     Lactose,https://www.carrefour.com.br/cf-promo-sem-lactose?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-sem-lactose|5,2020-07-03 21:48:47.629554,2020-07-03 21:48:47.629554
Zero,https://www.carrefour.com.br/cf-promo-zero?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|alimentos-light-e-diet|6,2020-07-03 21:48:47.699577,2020-07-03 21:48:47.699577
Sementes,https://www.carrefour.com.br/sementes?crfint=m-links|essenciais|integrais-e-dietas-especiais|8|sementes|7,2020-07-03 21:48:47.769553,2020-07-03 21:48:47.769553
Seara                                     - Linha Nature,https://www.carrefour.com.br/cf-promo-seara-nature-0420?crfint=hm-tlink|mercado|saudaveis|8|parceria-seara|8,2020-07-03 21:48:47.840558,2020-07-03 21:48:47.840558
Pets,https://www.carrefour.com.brhttps://www.carrefour.com.br/dicas/petshop?crfint=m-links|essenciais|pet|9|pet|0,2020-07-03 21:48:47.915553,2020-07-03 21:48:47.915553
Cães,https://www.carrefour.com.br/para-seu-cao?crfint=m-links|essenciais|pet|9|para-seu-cao|1,2020-07-03 21:48:47.984175,2020-07-03 21:48:47.984175
Gatos,https://www.carrefour.com.br/para-seu-gato?crfint=m-links|essenciais|pet|9|para-seu-gato|2,2020-07-03 21:48:48.056203,2020-07-03 21:48:48.056203
Infantil,https://www.carrefour.com.brhttps://www.carrefour.com.br/alimentos-infantis?crfint=m-links|essenciais|alimentos-infantis|10,2020-07-03 21:48:48.126005,2020-07-03 21:48:48.126005
"Balas,                                     chicletes e pirulitos",https://www.carrefour.com.br/balas-chicletes-e-pirulitos?crfint=m-links|essenciais|alimentos-infantis|10|balas-chicletes-e-pirulitos|1,2020-07-03 21:48:48.194355,2020-07-03 21:48:48.194355
Itens                                     para festa,https://www.carrefour.com.br/itens-para-festa?crfint=m-links|essenciais|alimentos-infantis|10|itens-para-festa|2,2020-07-03 21:48:48.261973,2020-07-03 21:48:48.261973
Leite                                     fermentado,https://www.carrefour.com.br/leite-fermentado?crfint=m-links|essenciais|alimentos-infantis|10|leite-fermentado|3,2020-07-03 21:48:48.341975,2020-07-03 21:48:48.341975
"Biscoitos,                                     salgadinhos e cereais",https://www.carrefour.com.br/biscoitos-salgadinhos-e-cereais?crfint=m-links|essenciais|alimentos-infantis|10|biscoitos-salgadinhos-e-cereais|4,2020-07-03 21:48:48.423970,2020-07-03 21:48:48.423970
Cereais,https://www.carrefour.com.br/cereais?crfint=m-links|essenciais|alimentos-infantis|10|cereais|5,2020-07-03 21:48:48.490971,2020-07-03 21:48:48.490971
Leites                                     e fórmulas infantis,https://www.carrefour.com.br/leites-e-formulas-infantis?crfint=m-links|essenciais|alimentos-infantis|10|leites-e-formulas-infantis|6,2020-07-03 21:48:48.558972,2020-07-03 21:48:48.558972
Bebidas,https://www.carrefour.com.br/bebidas?termo=%3Arelevance-foodzipzone%3Anavegacao%3Asucos-e-refrescos-200-ml&crfint=m-links|essenciais|alimentos-infantis|10|bebidas|7,2020-07-03 21:48:48.626972,2020-07-03 21:48:48.626972
Fraldas,https://www.carrefour.com.br/fraldas?crfint=m-links|essenciais|infantil|10|fraldas|8,2020-07-03 21:48:48.734974,2020-07-03 21:48:48.734974
Halls                                     e Trident,https://www.carrefour.com.br/cf-promo-selecao-halls-trident-0520?crfint=hm-tlink|mercado|infantil|10|parceria-mondelez|9,2020-07-03 21:48:48.840974,2020-07-03 21:48:48.840974
